ID,Company,Stage,Position,Date,Salary,Location,Sector
87,vrs-uk,Ghosted,Scientist,13-Mar-24,36807,"London, Greater London",Recruitment
87,vrs-uk,Ghosted,Scientist,13-Mar-24,36807,"London, Greater London",Recruitment
87,vrs-uk,Ghosted,Scientist,13-Mar-24,36807,"London, Greater London",Recruitment
88,tritility limited,Rejected,Market Analyst,14-Mar-24,25411,"London, Greater London",Energy
88,tritility limited,Rejected,Market Analyst,14-Mar-24,25411,"London, Greater London",Energy
88,tritility limited,Rejected,Market Analyst,14-Mar-24,25411,"London, Greater London",Energy Consultancy
89,brown turner ross limited,Rejected,Junior Data Analyst Admin Apprenticeship,15-Mar-24,31113,"London, Greater London",Legal Services
89,brown turner ross limited,Rejected,Junior Data Analyst Admin Apprenticeship,15-Mar-24,31113,"London, Greater London",Legal Services
89,brown turner ross limited,Rejected,Junior Data Analyst Admin Apprenticeship,15-Mar-24,31113,"London, Greater London",Legal Services
90,simplyhealth,Rejected,Software Developer,16-Mar-24,46549,"London, Greater London",Healthcare
90,simplyhealth,Rejected,Software Developer,16-Mar-24,46549,"London, Greater London",Healthcare
90,simplyhealth,Rejected,Software Developer,16-Mar-24,46549,"London, Greater London",Healthcare
91,grayce,Rejected,Data Graduate,17-Mar-24,26000,"London, Greater London",Consulting
91,grayce,Rejected,Data Graduate,17-Mar-24,26000,"London, Greater London",Consulting
91,grayce,Rejected,Data Graduate,17-Mar-24,26000,"London, Greater London",Consulting
92,ebay,Ghosted,Monetization Analyst (f/d/m),17-Mar-24,36100,"London, Greater London",E-commerce
92,ebay,Ghosted,Monetization Analyst (f/d/m),17-Mar-24,36100,"London, Greater London",E-commerce
92,ebay,Ghosted,Monetization Analyst (f/d/m),17-Mar-24,36100,"London, Greater London",E-commerce
93,consoneai,Rejected at final stage,Data/Machine Learning Scientist,19-Mar-24,32500,"Cambridge, Cambridgeshire",Technology
93,consoneai,Rejected at final stage,Data/Machine Learning Scientist,19-Mar-24,32500,"Cambridge, Cambridgeshire",Artificial Intelligence
93,consoneai,Rejected at final stage,Data/Machine Learning Scientist,19-Mar-24,32500,"Cambridge, Cambridgeshire",Technology (AI)
94,anthony nolan,Ghosted,Insight Analyst,20-Mar-24,30771,"London, Greater London",Non-Profit
94,anthony nolan,Ghosted,Insight Analyst,20-Mar-24,30771,"London, Greater London",Non-Profit
94,anthony nolan,Ghosted,Insight Analyst,20-Mar-24,30771,"London, Greater London",Non-Profit (Healthcare)
95,bennett and game recruitment ltd,Ghosted,Junior Software Developer,20-Mar-24,34494,"London, Greater London",
96,adecco,Ghosted,Junior Software Engineer,20-Mar-24,27805,"London, Greater London",Recruitment
96,adecco,Ghosted,Junior Software Engineer,20-Mar-24,27805,"London, Greater London",Recruitment
96,adecco,Ghosted,Junior Software Engineer,20-Mar-24,27805,"London, Greater London",Recruitment
97,diligenta,Rejected,Actuarial Analyst,22-Mar-24,36094,"London, Greater London",Financial Services
97,diligenta,Rejected,Actuarial Analyst,22-Mar-24,36094,"London, Greater London",Financial Services
97,diligenta,Rejected,Actuarial Analyst,22-Mar-24,36094,"London, Greater London",Financial Services
98,pn daly ltd,Rejected,Assistant Data Analyst (Water),23-Mar-24,26774,"London, Greater London",
99,one big circle ltd,Ghosted,Junior Software Developer,23-Mar-24,25195,"London, Greater London",
100,argid limited,Ghosted,Sales Administrator,23-Mar-24,37456,"London, Greater London",Consulting
100,argid limited,Ghosted,Sales Administrator,23-Mar-24,37456,"London, Greater London",Unknown
100,argid limited,Ghosted,Sales Administrator,23-Mar-24,37456,"London, Greater London",Unknown
101,hyperexponential,Ghosted,Model Developer,24-Mar-24,32929,"London, Greater London",Technology
101,hyperexponential,Ghosted,Model Developer,24-Mar-24,32929,"London, Greater London",Technology
101,hyperexponential,Ghosted,Model Developer,24-Mar-24,32929,"London, Greater London",Technology (Software)
102,albany beck,Rejected,Junior Data Analyst,25-Mar-24,35344,"London, Greater London",Consulting
102,albany beck,Rejected,Junior Data Analyst,25-Mar-24,35344,"London, Greater London",Consulting
102,albany beck,Rejected,Junior Data Analyst,25-Mar-24,35344,"London, Greater London",Consulting
103,cognism,Ghosted,Data Scientist,28-Mar-24,39308,"London, Greater London",Technology
103,cognism,Ghosted,Data Scientist,28-Mar-24,39308,"London, Greater London",Technology
103,cognism,Ghosted,Data Scientist,28-Mar-24,39308,"London, Greater London",Technology (Sales Intelligence)
104,michael bailey associates,Rejected,Python Developer,30-Mar-24,30070,"London, Greater London",Recruitment
104,michael bailey associates,Rejected,Python Developer,30-Mar-24,30070,"London, Greater London",Recruitment
104,michael bailey associates,Rejected,Python Developer,30-Mar-24,30070,"London, Greater London",Recruitment
105,i-neda ltd,Rejected,Test & Support Engineer,31-Mar-24,37178,"London, Greater London",
106,count,Ghosted,Data Consultant,02-Apr-24,30000,"London, Greater London",Financial Technology
106,count,Ghosted,Data Consultant,02-Apr-24,30000,"London, Greater London",Financial Technology
106,count,Ghosted,Data Consultant,02-Apr-24,30000,"London, Greater London",Unknown
107,kingsway group,Ghosted,Data Analyst,03-Apr-24,35000,"London, Greater London",Manufacturing
107,kingsway group,Ghosted,Data Analyst,03-Apr-24,35000,"London, Greater London",Manufacturing
107,kingsway group,Ghosted,Data Analyst,03-Apr-24,35000,"London, Greater London",Healthcare
108,mencap,Rejected,Data Analyst,03-Apr-24,35000,"London, Greater London",Non-Profit
108,mencap,Rejected,Data Analyst,03-Apr-24,35000,"London, Greater London",Non-Profit
108,mencap,Rejected,Data Analyst,03-Apr-24,35000,"London, Greater London",Non-Profit (Disability)
109,performance analyst,Rejected,Equans,04-Apr-24,32978,"London, Greater London",Consulting
109,performance analyst,Rejected,Equans,04-Apr-24,32978,"London, Greater London",Unknown
109,performance analyst,Rejected,Equans,04-Apr-24,32978,"London, Greater London",Unknown
110,accountable recruitment limited,Rejected,Finance Analyst,05-Apr-24,36637,"London, Greater London",Recruitment
110,accountable recruitment limited,Rejected,Finance Analyst,05-Apr-24,36637,"London, Greater London",Recruitment
110,accountable recruitment limited,Rejected,Finance Analyst,05-Apr-24,36637,"London, Greater London",Recruitment
111,royal pharmacy society,Offered,Data analytics Apprenticeship,13-Nov-24,21000,"London, Greater London",Healthcare
111,royal pharmacy society,Offered,Data analytics Apprenticeship,13-Nov-24,21000,"London, Greater London",Healthcare
111,royal pharmacy society,Offered,Data analytics Apprenticeship,13-Nov-24,21000,"London, Greater London",Healthcare
112,gateley,Rejected,Business Analyst,07-Apr-24,30544,"London, Greater London",Legal Services
112,gateley,Rejected,Business Analyst,07-Apr-24,30544,"London, Greater London",Legal Services
112,gateley,Rejected,Business Analyst,07-Apr-24,30544,"London, Greater London",Legal Services
113,la fosse associates ltd,Ghosted,Intelligence Analyst,07-Apr-24,30204,"London, Greater London",
114,artefact,Rejected,Junior Data Engineer,07-Apr-24,28314,"London, Greater London",Consulting
114,artefact,Rejected,Junior Data Engineer,07-Apr-24,28314,"London, Greater London",Consulting
114,artefact,Rejected,Junior Data Engineer,07-Apr-24,28314,"London, Greater London",Consulting
115,right now residential,Rejected,Junior Property Analyst,07-Apr-24,30893,"London, Greater London",Real Estate
115,right now residential,Rejected,Junior Property Analyst,07-Apr-24,30893,"London, Greater London",Real Estate
115,right now residential,Rejected,Junior Property Analyst,07-Apr-24,30893,"London, Greater London",Real Estate
116,hays,Ghosted,Data Analyst (Investment Banking),10-Apr-24,35000,"London, Greater London",Recruitment
116,hays,Ghosted,Data Analyst (Investment Banking),10-Apr-24,35000,"London, Greater London",Recruitment
116,hays,Ghosted,Data Analyst (Investment Banking),10-Apr-24,35000,"London, Greater London",Recruitment
117,just group,Ghosted,Data and Implementation Analyst,11-Apr-24,38657,"London, Greater London",Financial Services
117,just group,Ghosted,Data and Implementation Analyst,11-Apr-24,38657,"London, Greater London",Financial Services
117,just group,Ghosted,Data and Implementation Analyst,11-Apr-24,38657,"London, Greater London",Financial Services
118,myairops,Rejected,Data Reporting Analyst (12 Month FTC),12-Apr-24,32002,"London, Greater London",Technology
118,myairops,Rejected,Data Reporting Analyst (12 Month FTC),12-Apr-24,32002,"London, Greater London",Technology
118,myairops,Rejected,Data Reporting Analyst (12 Month FTC),12-Apr-24,32002,"London, Greater London",Technology (Aviation)
119,zeki,Rejected,Data Support Assistant,13-Apr-24,32083,"London, Greater London",Technology
119,zeki,Rejected,Data Support Assistant,13-Apr-24,32083,"London, Greater London",Unknown
119,zeki,Rejected,Data Support Assistant,13-Apr-24,32083,"London, Greater London",Unknown
120,matchtech technology,Ghosted,Analytical Scientist,14-Apr-24,26736,"London, Greater London",Recruitment
120,matchtech technology,Ghosted,Analytical Scientist,14-Apr-24,26736,"London, Greater London",Recruitment
120,matchtech technology,Ghosted,Analytical Scientist,14-Apr-24,26736,"London, Greater London",Recruitment
121,scipro,Ghosted,Back-end Developer,14-Apr-24,31290,"London, Greater London",Recruitment
121,scipro,Ghosted,Back-end Developer,14-Apr-24,31290,"London, Greater London",Recruitment
121,scipro,Ghosted,Back-end Developer,14-Apr-24,31290,"London, Greater London",Recruitment
122,intellect group,Rejected,Data Analyst,14-Apr-24,35000,"London, Greater London",Recruitment
122,intellect group,Rejected,Data Analyst,14-Apr-24,35000,"London, Greater London",Recruitment
122,intellect group,Rejected,Data Analyst,14-Apr-24,35000,"London, Greater London",Recruitment
123,micropathology ltd,Ghosted,Data Entry,14-Apr-24,26000,"London, Greater London",
124,barker ross,Ghosted,Data Scientist,14-Apr-24,28993,"London, Greater London",Recruitment
124,barker ross,Ghosted,Data Scientist,14-Apr-24,28993,"London, Greater London",Recruitment
124,barker ross,Ghosted,Data Scientist,14-Apr-24,28993,"London, Greater London",Recruitment
125,information tech consultants,Ghosted,Data Scientist,14-Apr-24,26210,"London, Greater London",Consulting
125,information tech consultants,Ghosted,Data Scientist,14-Apr-24,26210,"London, Greater London",Consulting
125,information tech consultants,Ghosted,Data Scientist,14-Apr-24,26210,"London, Greater London",Consulting
126,pontoon,Ghosted,Data Scientist,14-Apr-24,32464,"London, Greater London",Recruitment
126,pontoon,Ghosted,Data Scientist,14-Apr-24,32464,"London, Greater London",Recruitment
126,pontoon,Ghosted,Data Scientist,14-Apr-24,32464,"London, Greater London",Recruitment
127,illumina,Rejected,Data Scientist (Intern or Graduate),14-Apr-24,21000,"Cambridge, Cambridgeshire",Biotechnology
127,illumina,Rejected,Data Scientist (Intern or Graduate),14-Apr-24,21000,"Cambridge, Cambridgeshire",Biotechnology
128,jisc,Ghosted,Data steward - Hybrid,14-Apr-24,29060,"London, Greater London",Education Technology
128,jisc,Ghosted,Data steward - Hybrid,14-Apr-24,29060,"London, Greater London",Education Technology
128,jisc,Ghosted,Data steward - Hybrid,14-Apr-24,29060,"London, Greater London",Education Technology
129,it graduate,Ghosted,Graduate/Junior Machine Learning Engineer,14-Apr-24,25443,"London, Greater London",Recruitment
130,it graduate,Ghosted,Graduate/Junior Software Developer,14-Apr-24,55000,"London, Greater London",Recruitment
131,hyper recruitment solutions ltd,Ghosted,Protein Characterisation Scientist,14-Apr-24,36970,"London, Greater London",
132,ck group,Ghosted,Protein Scientist,14-Apr-24,37927,"London, Greater London",Recruitment
132,ck group,Ghosted,Protein Scientist,14-Apr-24,37927,"London, Greater London",Recruitment
132,ck group,Ghosted,Protein Scientist,14-Apr-24,37927,"London, Greater London",Recruitment
133,adecco,Ghosted,Senior Data Scientist (Python/SQL/Databricks/Pyspark),14-Apr-24,38218,"London, Greater London",Recruitment
