ID,Company,Stage,Position,Date,Salary,Location
100,ARGID Limited,Ghosted,Sales Administrator,23-Mar-24,37456,"London, Greater London"
101,hyperexponential,Ghosted,Model Developer,24-Mar-24,32929,"London, Greater London"
102,Albany Beck,Rejected,Junior Data Analyst,25-Mar-24,35344,"London, Greater London"
103,Cognism,Ghosted,Data Scientist,28-Mar-24,39308,"London, Greater London"
104,Michael Bailey Associates,Rejected,Python Developer,30-Mar-24,30070,"London, Greater London"
105,i-neda Ltd,Rejected,Test & Support Engineer,31-Mar-24,37178,"London, Greater London"
106,Count,Ghosted,Data Consultant,02-Apr-24,30000,"London, Greater London"
107,Kingsway Group,Ghosted,Data Analyst,03-Apr-24,35000,"London, Greater London"
108,Mencap,Rejected,Data Analyst,03-Apr-24,35000,"London, Greater London"
109,Performance Analyst,Rejected,Equans,04-Apr-24,32978,"London, Greater London"
110,Accountable Recruitment Limited,Rejected,Finance Analyst,05-Apr-24,36637,"London, Greater London"
111,Royal Pharmacy Society,Offered,Data analytics Apprenticeship,13-Nov-24,21000,"London, Greater London"
112,Gateley,Rejected,Business Analyst,07-Apr-24,30544,"London, Greater London"
113,La Fosse Associates Ltd,Ghosted,Intelligence Analyst,07-Apr-24,30204,"London, Greater London"
114,Artefact,Rejected,Junior Data Engineer,07-Apr-24,28314,"London, Greater London"
115,Right Now Residential,Rejected,Junior Property Analyst,07-Apr-24,30893,"London, Greater London"
116,Hays,Ghosted,Data Analyst (Investment Banking),10-Apr-24,35000,"London, Greater London"
117,Just Group,Ghosted,Data and Implementation Analyst,11-Apr-24,38657,"London, Greater London"
118,myairops,Rejected,Data Reporting Analyst (12 Month FTC),12-Apr-24,32002,"London, Greater London"
119,Zeki,Rejected,Data Support Assistant,13-Apr-24,32083,"London, Greater London"
120,Matchtech Technology,Ghosted,Analytical Scientist,14-Apr-24,26736,"London, Greater London"
121,SciPro,Ghosted,Back-end Developer,14-Apr-24,31290,"London, Greater London"
122,Intellect Group,Rejected,Data Analyst,14-Apr-24,35000,"London, Greater London"
123,Micropathology Ltd,Ghosted,Data Entry,14-Apr-24,26000,"London, Greater London"
124,Barker Ross,Ghosted,Data Scientist,14-Apr-24,28993,"London, Greater London"
125,Information Tech Consultants,Ghosted,Data Scientist,14-Apr-24,26210,"London, Greater London"
126,Pontoon,Ghosted,Data Scientist,14-Apr-24,32464,"London, Greater London"
127,illumina,Rejected,Data Scientist (Intern or Graduate),14-Apr-24,21000,"Cambridge, Cambridgeshire"
128,Jisc,Ghosted,Data steward - Hybrid,14-Apr-24,29060,"London, Greater London"
129,IT Graduate,Ghosted,Graduate/Junior Machine Learning Engineer,14-Apr-24,25443,"London, Greater London"
130,IT Graduate,Ghosted,Graduate/Junior Software Developer,14-Apr-24,55000,"London, Greater London"
131,Hyper Recruitment Solutions LTD,Ghosted,Protein Characterisation Scientist,14-Apr-24,36970,"London, Greater London"
132,CK Group,Ghosted,Protein Scientist,14-Apr-24,37927,"London, Greater London"
133,Adecco,Ghosted,Senior Data Scientist (Python/SQL/Databricks/Pyspark),14-Apr-24,38218,"London, Greater London"
134,Omnicom,Ghosted,Data Analyst,16-Apr-24,35000,"London, Greater London"
135,RBW Consulting,Rejected,Python Developer,17-Apr-24,36561,"London, Greater London"
136,BIOVIA,Rejected,Scientific Solution Developer (Internship),17-Apr-24,36302,"Cambridge, Cambridgeshire"
137,Capua,Rejected,Graduate Data Analyst,19-Apr-24,29346,"London, Greater London"
138,Veeva Systems Inc,Ghosted,Python Data Engineer (Remote),19-Apr-24,29472,"London, Greater London"
139,Speechmatics,Ghosted,Software Engineering Internship (Machine Learning Team),19-Apr-24,50589,"London, Greater London"
140,AYKO Digital Ltd,Rejected,Data Science & CRO Analyst,21-Apr-24,37006,"London, Greater London"
141,reallymoving,Rejected,Junior Data Analyst,21-Apr-24,27555,"London, Greater London"
142,Marex,Ghosted,Credit Analyst,22-Apr-24,38118,"London, Greater London"
143,Janus Henders,Ghosted,ESG Data Analyst,23-Apr-24,26409,"London, Greater London"
144,Munich Re Specialty - Global Markets,Ghosted,Property Analyst,23-Apr-24,34768,"London, Greater London"
145,Aspen Insurance Group,Rejected,Data Graduate,25-Apr-24,26000,"London, Greater London"
146,Portfolio Information Analyst,Rejected,Hiscox,26-Apr-24,30929,"London, Greater London"
147,JSK Consultancy Ltd,Ghosted,KYC/AML Analyst,29-Apr-24,34935,"London, Greater London"
148,YouLend,Rejected,Data Analyst,30-Apr-24,35000,"London, Greater London"
149,2i Recruit Ltd,Ghosted,Report Administrator,30-Apr-24,25651,"London, Greater London"
150,Hunter AHP Resourcing,Ghosted,CV Enquiry,01-May-24,0,"London, Greater London"
151,Financial Conduct Authority,Ghosted,Data Analyst (12 month Fixed-Term Contract),01-May-24,35000,"London, Greater London"
152,Randstad,Ghosted,Lab Technician,01-May-24,36102,"London, Greater London"
153,Adecco,Ghosted,Lab Technician (food science) - temp contract,01-May-24,31211,"London, Greater London"
154,Aspire People,Ghosted,Secondary Science Teacher,01-May-24,25467,"London, Greater London"
155,Career Sprint,Ghosted,Trainee Data Analyst,01-May-24,33839,"London, Greater London"
156,JobWize,Ghosted,Trainee Data Analyst,01-May-24,33839,"London, Greater London"
157,Hunter AHP Resourcing ,Ghosted,Band 2 Medical Lab Assistant,02-May-24,36173,"London, Greater London"
158,Mane Contract Services,Ghosted,Data Scientist,02-May-24,28865,"London, Greater London"
159,Danaher,Rejected,Data Analyst,04-May-24,35000,"London, Greater London"
160,Trutex Ltd,Ghosted,Data Analyst,04-May-24,35000,"London, Greater London"
161,Technology Summer Internship (London),Ghosted,Prudential Distribution Limited,04-May-24,31108,"London, Greater London"
162,Credit Agricole CIB,Ghosted,Summer Internship Programme 2024 - IT Department,04-May-24,48411,"London, Greater London"
163,IT Graduate,Ghosted,Graduate/Junior Software Developer (£50-60k) + Bonus,05-May-24,32885,"London, Greater London"
164,In Technology Group,Rejected,BI Analyst,06-May-24,29883,"London, Greater London"
165,Reed Technology,Rejected,Data Analyst,07-May-24,35000,"London, Greater London"
166,Hays ,Rejected,Junior Data scientist,07-May-24,27278,"London, Greater London"
167,Illuma Technology,Rejected,Software Engineer,07-May-24,31658,"London, Greater London"
168,Mimecast,Ghosted,Software Engineering Intern,08-May-24,53039,"London, Greater London"
169,Cosourced,Ghosted,Account Support Coordinator,14-May-24,28711,"London, Greater London"
170,SAVA,Ghosted,Data Scientist I/II,14-May-24,37033,"London, Greater London"
